office,district,candidate,party,reporting_level,county,jurisdiction,votes
State Senate,48,Scattering,,precinct,Union,Salem Lutheran Church,0
State Senate,48,Total,,precinct,Union,Salem Lutheran Church,64
State Senate,48,Ruth Smith,,precinct,Union,Super 8 Meeting Room,1
State Senate,48,Joni .K. Ernst,,precinct,Union,Super 8 Meeting Room,18
State Senate,48,Overvote,,precinct,Union,Super 8 Meeting Room,0
State Senate,48,Undervote,,precinct,Union,Super 8 Meeting Room,0
State Senate,48,Scattering,,precinct,Union,Super 8 Meeting Room,0
State Senate,48,Total,,precinct,Union,Super 8 Meeting Room,19
State Senate,48,Ruth Smith,,precinct,Union,Supertel Inn,18
State Senate,48,Joni .K. Ernst,,precinct,Union,Supertel Inn,38
State Senate,48,Overvote,,precinct,Union,Supertel Inn,0
State Senate,48,Undervote,,precinct,Union,Supertel Inn,0
State Senate,48,Scattering,,precinct,Union,Supertel Inn,0
State Senate,48,Total,,precinct,Union,Supertel Inn,56
State Senate,48,Ruth Smith,,precinct,Union,SWCC Student Center,43
State Senate,48,Joni .K. Ernst,,precinct,Union,SWCC Student Center,121
State Senate,48,Overvote,,precinct,Union,SWCC Student Center,0
State Senate,48,Undervote,,precinct,Union,SWCC Student Center,0
State Senate,48,Scattering,,precinct,Union,SWCC Student Center,0
State Senate,48,Total,,precinct,Union,SWCC Student Center,164
State Senate,48,Ruth Smith,,precinct,Union,Trinity Lutheran Church,38
State Senate,48,Joni .K. Ernst,,precinct,Union,Trinity Lutheran Church,35
State Senate,48,Overvote,,precinct,Union,Trinity Lutheran Church,0
State Senate,48,Undervote,,precinct,Union,Trinity Lutheran Church,0
State Senate,48,Scattering,,precinct,Union,Trinity Lutheran Church,0
State Senate,48,Total,,precinct,Union,Trinity Lutheran Church,73
State Senate,48,Ruth Smith,,precinct,Union,Total,438
State Senate,48,Joni .K. Ernst,,precinct,Union,Total,936
State Senate,48,Overvote,,precinct,Union,Total,0
State Senate,48,Undervote,,precinct,Union,Total,0
State Senate,48,Scattering,,precinct,Union,Total,0
State Senate,48,Total,,precinct,Union,Total,1374
