office,district,candidate,party,reporting_level,jurisdiction,votes,vacancy
Auditor of State,,SCATTERING,,county,Carroll,36,False
Auditor of State,,TOTAL,,county,Carroll,4358,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Cass,3602,False
Auditor of State,,OVER VOTES,,county,Cass,0,False
Auditor of State,,UNDER VOTES,,county,Cass,1481,False
Auditor of State,,SCATTERING,,county,Cass,14,False
Auditor of State,,TOTAL,,county,Cass,5097,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Cedar,4485,False
Auditor of State,,OVER VOTES,,county,Cedar,0,False
Auditor of State,,UNDER VOTES,,county,Cedar,0,False
Auditor of State,,SCATTERING,,county,Cedar,29,False
Auditor of State,,TOTAL,,county,Cedar,4514,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Cerro Gordo,10706,False
Auditor of State,,OVER VOTES,,county,Cerro Gordo,2,False
Auditor of State,,UNDER VOTES,,county,Cerro Gordo,6455,False
Auditor of State,,SCATTERING,,county,Cerro Gordo,135,False
Auditor of State,,TOTAL,,county,Cerro Gordo,17298,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Cherokee,3082,False
Auditor of State,,OVER VOTES,,county,Cherokee,0,False
Auditor of State,,UNDER VOTES,,county,Cherokee,0,False
Auditor of State,,SCATTERING,,county,Cherokee,8,False
Auditor of State,,TOTAL,,county,Cherokee,3090,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Chickasaw,3242,False
Auditor of State,,OVER VOTES,,county,Chickasaw,0,False
Auditor of State,,UNDER VOTES,,county,Chickasaw,1516,False
Auditor of State,,SCATTERING,,county,Chickasaw,2,False
Auditor of State,,TOTAL,,county,Chickasaw,4760,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Clarke,2459,False
Auditor of State,,OVER VOTES,,county,Clarke,0,False
Auditor of State,,UNDER VOTES,,county,Clarke,963,False
Auditor of State,,SCATTERING,,county,Clarke,11,False
Auditor of State,,TOTAL,,county,Clarke,3433,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Clay,4110,False
Auditor of State,,OVER VOTES,,county,Clay,0,False
Auditor of State,,UNDER VOTES,,county,Clay,1978,False
Auditor of State,,SCATTERING,,county,Clay,14,False
Auditor of State,,TOTAL,,county,Clay,6102,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Clayton,4204,False
Auditor of State,,OVER VOTES,,county,Clayton,0,False
Auditor of State,,UNDER VOTES,,county,Clayton,0,False
Auditor of State,,SCATTERING,,county,Clayton,12,False
Auditor of State,,TOTAL,,county,Clayton,4216,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Clinton,9659,False
Auditor of State,,OVER VOTES,,county,Clinton,2,False
Auditor of State,,UNDER VOTES,,county,Clinton,7198,False
Auditor of State,,SCATTERING,,county,Clinton,96,False
Auditor of State,,TOTAL,,county,Clinton,16955,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Crawford,3109,False
Auditor of State,,OVER VOTES,,county,Crawford,0,False
Auditor of State,,UNDER VOTES,,county,Crawford,1707,False
Auditor of State,,SCATTERING,,county,Crawford,7,False
Auditor of State,,TOTAL,,county,Crawford,4823,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Dallas,14093,False
Auditor of State,,OVER VOTES,,county,Dallas,2,False
Auditor of State,,UNDER VOTES,,county,Dallas,5561,False
Auditor of State,,SCATTERING,,county,Dallas,154,False
Auditor of State,,TOTAL,,county,Dallas,19810,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Davis,1908,False
Auditor of State,,OVER VOTES,,county,Davis,0,False
Auditor of State,,UNDER VOTES,,county,Davis,0,False
Auditor of State,,SCATTERING,,county,Davis,9,False
Auditor of State,,TOTAL,,county,Davis,1917,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Decatur,2019,False
Auditor of State,,OVER VOTES,,county,Decatur,0,False
Auditor of State,,UNDER VOTES,,county,Decatur,0,False
Auditor of State,,SCATTERING,,county,Decatur,13,False
Auditor of State,,TOTAL,,county,Decatur,2032,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Delaware,4803,False
Auditor of State,,OVER VOTES,,county,Delaware,0,False
Auditor of State,,UNDER VOTES,,county,Delaware,0,False
Auditor of State,,SCATTERING,,county,Delaware,28,False
Auditor of State,,TOTAL,,county,Delaware,4831,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Des Moines,7250,False
Auditor of State,,OVER VOTES,,county,Des Moines,1,False
Auditor of State,,UNDER VOTES,,county,Des Moines,0,False
Auditor of State,,SCATTERING,,county,Des Moines,80,False
Auditor of State,,TOTAL,,county,Des Moines,7331,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Dickinson,4878,False
Auditor of State,,OVER VOTES,,county,Dickinson,0,False
Auditor of State,,UNDER VOTES,,county,Dickinson,2046,False
Auditor of State,,SCATTERING,,county,Dickinson,26,False
Auditor of State,,TOTAL,,county,Dickinson,6950,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Dubuque,18262,False
Auditor of State,,OVER VOTES,,county,Dubuque,1,False
Auditor of State,,UNDER VOTES,,county,Dubuque,15624,False
Auditor of State,,SCATTERING,,county,Dubuque,174,False
Auditor of State,,TOTAL,,county,Dubuque,34061,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Emmet,2027,False
Auditor of State,,OVER VOTES,,county,Emmet,0,False
Auditor of State,,UNDER VOTES,,county,Emmet,1105,False
Auditor of State,,SCATTERING,,county,Emmet,15,False
Auditor of State,,TOTAL,,county,Emmet,3147,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Fayette,5058,False
Auditor of State,,OVER VOTES,,county,Fayette,0,False
Auditor of State,,UNDER VOTES,,county,Fayette,0,False
Auditor of State,,SCATTERING,,county,Fayette,17,False
Auditor of State,,TOTAL,,county,Fayette,5075,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Floyd,4191,False
Auditor of State,,OVER VOTES,,county,Floyd,0,False
Auditor of State,,UNDER VOTES,,county,Floyd,2023,False
Auditor of State,,SCATTERING,,county,Floyd,21,False
Auditor of State,,TOTAL,,county,Floyd,6235,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Franklin,2734,False
Auditor of State,,OVER VOTES,,county,Franklin,0,False
Auditor of State,,UNDER VOTES,,county,Franklin,0,False
Auditor of State,,SCATTERING,,county,Franklin,10,False
Auditor of State,,TOTAL,,county,Franklin,2744,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Fremont,1807,False
Auditor of State,,OVER VOTES,,county,Fremont,0,False
Auditor of State,,UNDER VOTES,,county,Fremont,0,False
Auditor of State,,SCATTERING,,county,Fremont,5,False
Auditor of State,,TOTAL,,county,Fremont,1812,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Greene,2326,False
Auditor of State,,OVER VOTES,,county,Greene,0,False
Auditor of State,,UNDER VOTES,,county,Greene,1313,False
Auditor of State,,SCATTERING,,county,Greene,11,False
Auditor of State,,TOTAL,,county,Greene,3650,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Grundy,3676,False
Auditor of State,,OVER VOTES,,county,Grundy,1,False
Auditor of State,,UNDER VOTES,,county,Grundy,1271,False
Auditor of State,,SCATTERING,,county,Grundy,17,False
Auditor of State,,TOTAL,,county,Grundy,4965,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Guthrie,2896,False
Auditor of State,,OVER VOTES,,county,Guthrie,0,False
Auditor of State,,UNDER VOTES,,county,Guthrie,0,False
Auditor of State,,SCATTERING,,county,Guthrie,21,False
Auditor of State,,TOTAL,,county,Guthrie,2917,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Hamilton,4390,False
Auditor of State,,OVER VOTES,,county,Hamilton,0,False
Auditor of State,,UNDER VOTES,,county,Hamilton,2009,False
Auditor of State,,SCATTERING,,county,Hamilton,20,False
Auditor of State,,TOTAL,,county,Hamilton,6419,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Hancock,3088,False
Auditor of State,,OVER VOTES,,county,Hancock,0,False
Auditor of State,,UNDER VOTES,,county,Hancock,1172,False
Auditor of State,,SCATTERING,,county,Hancock,20,False
Auditor of State,,TOTAL,,county,Hancock,4280,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Hardin,4714,False
Auditor of State,,OVER VOTES,,county,Hardin,0,False
Auditor of State,,UNDER VOTES,,county,Hardin,2142,False
Auditor of State,,SCATTERING,,county,Hardin,19,False
Auditor of State,,TOTAL,,county,Hardin,6875,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Harrison,3580,False
Auditor of State,,OVER VOTES,,county,Harrison,0,False
Auditor of State,,UNDER VOTES,,county,Harrison,1487,False
Auditor of State,,SCATTERING,,county,Harrison,18,False
Auditor of State,,TOTAL,,county,Harrison,5085,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Henry,4543,False
Auditor of State,,OVER VOTES,,county,Henry,0,False
Auditor of State,,UNDER VOTES,,county,Henry,1998,False
Auditor of State,,SCATTERING,,county,Henry,22,False
Auditor of State,,TOTAL,,county,Henry,6563,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Howard,2228,False
Auditor of State,,OVER VOTES,,county,Howard,0,False
Auditor of State,,UNDER VOTES,,county,Howard,1161,False
Auditor of State,,SCATTERING,,county,Howard,13,False
Auditor of State,,TOTAL,,county,Howard,3402,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Humboldt,2788,False
Auditor of State,,OVER VOTES,,county,Humboldt,0,False
Auditor of State,,UNDER VOTES,,county,Humboldt,998,False
Auditor of State,,SCATTERING,,county,Humboldt,11,False
Auditor of State,,TOTAL,,county,Humboldt,3797,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Ida,1736,False
Auditor of State,,OVER VOTES,,county,Ida,1,False
Auditor of State,,UNDER VOTES,,county,Ida,735,False
Auditor of State,,SCATTERING,,county,Ida,3,False
Auditor of State,,TOTAL,,county,Ida,2475,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Iowa,4263,False
Auditor of State,,OVER VOTES,,county,Iowa,0,False
Auditor of State,,UNDER VOTES,,county,Iowa,2052,False
Auditor of State,,SCATTERING,,county,Iowa,35,False
Auditor of State,,TOTAL,,county,Iowa,6350,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Jackson,3909,False
Auditor of State,,OVER VOTES,,county,Jackson,0,False
Auditor of State,,UNDER VOTES,,county,Jackson,0,False
Auditor of State,,SCATTERING,,county,Jackson,14,False
Auditor of State,,TOTAL,,county,Jackson,3923,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Jasper,9722,False
Auditor of State,,OVER VOTES,,county,Jasper,0,False
Auditor of State,,UNDER VOTES,,county,Jasper,0,False
Auditor of State,,SCATTERING,,county,Jasper,149,False
Auditor of State,,TOTAL,,county,Jasper,9871,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Jefferson,3656,False
Auditor of State,,OVER VOTES,,county,Jefferson,1,False
Auditor of State,,UNDER VOTES,,county,Jefferson,2438,False
Auditor of State,,SCATTERING,,county,Jefferson,49,False
Auditor of State,,TOTAL,,county,Jefferson,6144,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Johnson,21764,False
Auditor of State,,OVER VOTES,,county,Johnson,3,False
Auditor of State,,UNDER VOTES,,county,Johnson,21513,False
Auditor of State,,SCATTERING,,county,Johnson,1012,False
Auditor of State,,TOTAL,,county,Johnson,44292,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Jones,4972,False
Auditor of State,,OVER VOTES,,county,Jones,1,False
Auditor of State,,UNDER VOTES,,county,Jones,2423,False
Auditor of State,,SCATTERING,,county,Jones,35,False
Auditor of State,,TOTAL,,county,Jones,7431,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Keokuk,2481,False
Auditor of State,,OVER VOTES,,county,Keokuk,0,False
Auditor of State,,UNDER VOTES,,county,Keokuk,1437,False
Auditor of State,,SCATTERING,,county,Keokuk,4,False
Auditor of State,,TOTAL,,county,Keokuk,3922,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Kossuth,4706,False
Auditor of State,,OVER VOTES,,county,Kossuth,2,False
Auditor of State,,UNDER VOTES,,county,Kossuth,1524,False
Auditor of State,,SCATTERING,,county,Kossuth,28,False
Auditor of State,,TOTAL,,county,Kossuth,6260,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Lee,6844,False
Auditor of State,,OVER VOTES,,county,Lee,0,False
Auditor of State,,UNDER VOTES,,county,Lee,5061,False
Auditor of State,,SCATTERING,,county,Lee,133,False
Auditor of State,,TOTAL,,county,Lee,12038,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Linn,46790,False
Auditor of State,,OVER VOTES,,county,Linn,0,False
Auditor of State,,UNDER VOTES,,county,Linn,0,False
Auditor of State,,SCATTERING,,county,Linn,590,False
Auditor of State,,TOTAL,,county,Linn,47380,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Louisa,2399,False
Auditor of State,,OVER VOTES,,county,Louisa,0,False
Auditor of State,,UNDER VOTES,,county,Louisa,0,False
Auditor of State,,SCATTERING,,county,Louisa,13,False
Auditor of State,,TOTAL,,county,Louisa,2412,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Lucas,2459,False
Auditor of State,,OVER VOTES,,county,Lucas,0,False
Auditor of State,,UNDER VOTES,,county,Lucas,0,False
Auditor of State,,SCATTERING,,county,Lucas,11,False
Auditor of State,,TOTAL,,county,Lucas,2470,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Lyon,3218,False
Auditor of State,,OVER VOTES,,county,Lyon,0,False
Auditor of State,,UNDER VOTES,,county,Lyon,0,False
Auditor of State,,SCATTERING,,county,Lyon,3,False
Auditor of State,,TOTAL,,county,Lyon,3221,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Madison,4365,False
Auditor of State,,OVER VOTES,,county,Madison,0,False
Auditor of State,,UNDER VOTES,,county,Madison,0,False
Auditor of State,,SCATTERING,,county,Madison,34,False
Auditor of State,,TOTAL,,county,Madison,4399,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Mahaska,5517,False
Auditor of State,,OVER VOTES,,county,Mahaska,0,False
Auditor of State,,UNDER VOTES,,county,Mahaska,4,False
Auditor of State,,SCATTERING,,county,Mahaska,16,False
Auditor of State,,TOTAL,,county,Mahaska,5537,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Marion,8688,False
Auditor of State,,OVER VOTES,,county,Marion,0,False
Auditor of State,,UNDER VOTES,,county,Marion,3603,False
Auditor of State,,SCATTERING,,county,Marion,27,False
Auditor of State,,TOTAL,,county,Marion,12318,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Marshall,9035,False
Auditor of State,,OVER VOTES,,county,Marshall,0,False
Auditor of State,,UNDER VOTES,,county,Marshall,4659,False
Auditor of State,,SCATTERING,,county,Marshall,100,False
Auditor of State,,TOTAL,,county,Marshall,13794,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Mills,2862,False
Auditor of State,,OVER VOTES,,county,Mills,0,False
Auditor of State,,UNDER VOTES,,county,Mills,1139,False
Auditor of State,,SCATTERING,,county,Mills,19,False
Auditor of State,,TOTAL,,county,Mills,4020,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Mitchell,2758,False
Auditor of State,,OVER VOTES,,county,Mitchell,1,False
Auditor of State,,UNDER VOTES,,county,Mitchell,1278,False
Auditor of State,,SCATTERING,,county,Mitchell,4,False
Auditor of State,,TOTAL,,county,Mitchell,4041,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Monona,2116,False
Auditor of State,,OVER VOTES,,county,Monona,0,False
Auditor of State,,UNDER VOTES,,county,Monona,1040,False
Auditor of State,,SCATTERING,,county,Monona,19,False
Auditor of State,,TOTAL,,county,Monona,3175,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Monroe,1739,False
Auditor of State,,OVER VOTES,,county,Monroe,0,False
Auditor of State,,UNDER VOTES,,county,Monroe,971,False
Auditor of State,,SCATTERING,,county,Monroe,4,False
Auditor of State,,TOTAL,,county,Monroe,2714,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Montgomery,2330,False
Auditor of State,,OVER VOTES,,county,Montgomery,0,False
Auditor of State,,UNDER VOTES,,county,Montgomery,0,False
Auditor of State,,SCATTERING,,county,Montgomery,15,False
Auditor of State,,TOTAL,,county,Montgomery,2345,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Muscatine,7629,False
Auditor of State,,OVER VOTES,,county,Muscatine,0,False
Auditor of State,,UNDER VOTES,,county,Muscatine,4684,False
Auditor of State,,SCATTERING,,county,Muscatine,125,False
Auditor of State,,TOTAL,,county,Muscatine,12438,False
Auditor of State,,DAVID A. VAUDT,Republican,county,O'Brien,3927,False
Auditor of State,,OVER VOTES,,county,O'Brien,0,False
Auditor of State,,UNDER VOTES,,county,O'Brien,1278,False
Auditor of State,,SCATTERING,,county,O'Brien,4,False
Auditor of State,,TOTAL,,county,O'Brien,5209,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Osceola,1775,False
Auditor of State,,OVER VOTES,,county,Osceola,0,False
Auditor of State,,UNDER VOTES,,county,Osceola,0,False
Auditor of State,,SCATTERING,,county,Osceola,0,False
Auditor of State,,TOTAL,,county,Osceola,1775,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Page,3615,False
Auditor of State,,OVER VOTES,,county,Page,0,False
Auditor of State,,UNDER VOTES,,county,Page,0,False
Auditor of State,,SCATTERING,,county,Page,17,False
Auditor of State,,TOTAL,,county,Page,3632,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Palo Alto,2306,False
Auditor of State,,OVER VOTES,,county,Palo Alto,0,False
Auditor of State,,UNDER VOTES,,county,Palo Alto,1512,False
Auditor of State,,SCATTERING,,county,Palo Alto,4,False
Auditor of State,,TOTAL,,county,Palo Alto,3822,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Plymouth,5914,False
Auditor of State,,OVER VOTES,,county,Plymouth,0,False
Auditor of State,,UNDER VOTES,,county,Plymouth,0,False
Auditor of State,,SCATTERING,,county,Plymouth,17,False
Auditor of State,,TOTAL,,county,Plymouth,5931,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Pocahontas,2023,False
Auditor of State,,OVER VOTES,,county,Pocahontas,0,False
Auditor of State,,UNDER VOTES,,county,Pocahontas,881,False
Auditor of State,,SCATTERING,,county,Pocahontas,3,False
Auditor of State,,TOTAL,,county,Pocahontas,2907,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Polk,87414,False
Auditor of State,,OVER VOTES,,county,Polk,0,False
Auditor of State,,UNDER VOTES,,county,Polk,0,False
Auditor of State,,SCATTERING,,county,Polk,1944,False
Auditor of State,,TOTAL,,county,Polk,89358,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Pottawattamie,16520,False
Auditor of State,,OVER VOTES,,county,Pottawattamie,4,False
Auditor of State,,UNDER VOTES,,county,Pottawattamie,8289,False
Auditor of State,,SCATTERING,,county,Pottawattamie,278,False
Auditor of State,,TOTAL,,county,Pottawattamie,25091,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Poweshiek,4673,False
Auditor of State,,OVER VOTES,,county,Poweshiek,0,False
Auditor of State,,UNDER VOTES,,county,Poweshiek,1678,False
Auditor of State,,SCATTERING,,county,Poweshiek,9,False
Auditor of State,,TOTAL,,county,Poweshiek,6360,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Ringgold,1465,False
Auditor of State,,OVER VOTES,,county,Ringgold,0,False
Auditor of State,,UNDER VOTES,,county,Ringgold,0,False
Auditor of State,,SCATTERING,,county,Ringgold,8,False
Auditor of State,,TOTAL,,county,Ringgold,1473,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Sac,2530,False
Auditor of State,,OVER VOTES,,county,Sac,0,False
Auditor of State,,UNDER VOTES,,county,Sac,0,False
Auditor of State,,SCATTERING,,county,Sac,6,False
Auditor of State,,TOTAL,,county,Sac,2536,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Scott,34178,False
Auditor of State,,OVER VOTES,,county,Scott,3,False
Auditor of State,,UNDER VOTES,,county,Scott,21819,False
Auditor of State,,SCATTERING,,county,Scott,482,False
Auditor of State,,TOTAL,,county,Scott,56482,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Shelby,2905,False
Auditor of State,,OVER VOTES,,county,Shelby,2,False
Auditor of State,,UNDER VOTES,,county,Shelby,1461,False
Auditor of State,,SCATTERING,,county,Shelby,18,False
Auditor of State,,TOTAL,,county,Shelby,4386,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Sioux,10331,False
Auditor of State,,OVER VOTES,,county,Sioux,0,False
Auditor of State,,UNDER VOTES,,county,Sioux,0,False
Auditor of State,,SCATTERING,,county,Sioux,9,False
Auditor of State,,TOTAL,,county,Sioux,10340,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Story,19296,False
Auditor of State,,OVER VOTES,,county,Story,0,False
Auditor of State,,UNDER VOTES,,county,Story,0,False
Auditor of State,,SCATTERING,,county,Story,256,False
Auditor of State,,TOTAL,,county,Story,19552,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Tama,4286,False
Auditor of State,,OVER VOTES,,county,Tama,0,False
Auditor of State,,UNDER VOTES,,county,Tama,0,False
Auditor of State,,SCATTERING,,county,Tama,52,False
Auditor of State,,TOTAL,,county,Tama,4338,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Taylor,1754,False
Auditor of State,,OVER VOTES,,county,Taylor,0,False
Auditor of State,,UNDER VOTES,,county,Taylor,0,False
Auditor of State,,SCATTERING,,county,Taylor,7,False
Auditor of State,,TOTAL,,county,Taylor,1761,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Union,2811,False
Auditor of State,,OVER VOTES,,county,Union,0,False
Auditor of State,,UNDER VOTES,,county,Union,0,False
Auditor of State,,SCATTERING,,county,Union,14,False
Auditor of State,,TOTAL,,county,Union,2825,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Van Buren,1996,False
Auditor of State,,OVER VOTES,,county,Van Buren,0,False
Auditor of State,,UNDER VOTES,,county,Van Buren,728,False
Auditor of State,,SCATTERING,,county,Van Buren,18,False
Auditor of State,,TOTAL,,county,Van Buren,2742,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Wapello,6276,False
Auditor of State,,OVER VOTES,,county,Wapello,0,False
Auditor of State,,UNDER VOTES,,county,Wapello,0,False
Auditor of State,,SCATTERING,,county,Wapello,123,False
Auditor of State,,TOTAL,,county,Wapello,6399,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Warren,11514,False
Auditor of State,,OVER VOTES,,county,Warren,3,False
Auditor of State,,UNDER VOTES,,county,Warren,6059,False
Auditor of State,,SCATTERING,,county,Warren,65,False
Auditor of State,,TOTAL,,county,Warren,17641,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Washington,5133,False
Auditor of State,,OVER VOTES,,county,Washington,1,False
Auditor of State,,UNDER VOTES,,county,Washington,0,False
Auditor of State,,SCATTERING,,county,Washington,25,False
Auditor of State,,TOTAL,,county,Washington,5159,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Wayne,1550,False
Auditor of State,,OVER VOTES,,county,Wayne,0,False
Auditor of State,,UNDER VOTES,,county,Wayne,0,False
Auditor of State,,SCATTERING,,county,Wayne,0,False
Auditor of State,,TOTAL,,county,Wayne,1550,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Webster,8808,False
Auditor of State,,OVER VOTES,,county,Webster,3,False
Auditor of State,,UNDER VOTES,,county,Webster,4401,False
Auditor of State,,SCATTERING,,county,Webster,83,False
Auditor of State,,TOTAL,,county,Webster,13295,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Winnebago,3013,False
Auditor of State,,OVER VOTES,,county,Winnebago,0,False
Auditor of State,,UNDER VOTES,,county,Winnebago,1156,False
Auditor of State,,SCATTERING,,county,Winnebago,6,False
Auditor of State,,TOTAL,,county,Winnebago,4175,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Winneshiek,4709,False
Auditor of State,,OVER VOTES,,county,Winneshiek,0,False
Auditor of State,,UNDER VOTES,,county,Winneshiek,0,False
Auditor of State,,SCATTERING,,county,Winneshiek,21,False
Auditor of State,,TOTAL,,county,Winneshiek,4730,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Woodbury,17855,False
Auditor of State,,OVER VOTES,,county,Woodbury,0,False
Auditor of State,,UNDER VOTES,,county,Woodbury,0,False
Auditor of State,,SCATTERING,,county,Woodbury,245,False
Auditor of State,,TOTAL,,county,Woodbury,18100,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Worth,2171,False
Auditor of State,,OVER VOTES,,county,Worth,0,False
Auditor of State,,UNDER VOTES,,county,Worth,1031,False
Auditor of State,,SCATTERING,,county,Worth,5,False
Auditor of State,,TOTAL,,county,Worth,3207,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Wright,3394,False
Auditor of State,,OVER VOTES,,county,Wright,0,False
Auditor of State,,UNDER VOTES,,county,Wright,0,False
Auditor of State,,SCATTERING,,county,Wright,11,False
Auditor of State,,TOTAL,,county,Wright,3405,False
Auditor of State,,DAVID A. VAUDT,Republican,county,Total,669434,False
Auditor of State,,OVER VOTES,,county,Total,37,False
Auditor of State,,UNDER VOTES,,county,Total,180468,False
Auditor of State,,SCATTERING,,county,Total,7916,False
Auditor of State,,TOTAL,,county,Total,857855,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Adair,2163,False
Treasurer of State,,OVER VOTES,,county,Adair,0,False
Treasurer of State,,UNDER VOTES,,county,Adair,930,False
Treasurer of State,,SCATTERING,,county,Adair,9,False
Treasurer of State,,TOTAL,,county,Adair,3102,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Adams,1233,False
Treasurer of State,,OVER VOTES,,county,Adams,0,False
Treasurer of State,,UNDER VOTES,,county,Adams,0,False
Treasurer of State,,SCATTERING,,county,Adams,4,False
Treasurer of State,,TOTAL,,county,Adams,1237,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Allamakee,3287,False
Treasurer of State,,OVER VOTES,,county,Allamakee,1,False
Treasurer of State,,UNDER VOTES,,county,Allamakee,0,False
Treasurer of State,,SCATTERING,,county,Allamakee,9,False
Treasurer of State,,TOTAL,,county,Allamakee,3297,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Appanoose,3170,False
Treasurer of State,,OVER VOTES,,county,Appanoose,0,False
Treasurer of State,,UNDER VOTES,,county,Appanoose,0,False
Treasurer of State,,SCATTERING,,county,Appanoose,4,False
Treasurer of State,,TOTAL,,county,Appanoose,3174,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Audubon,1676,False
Treasurer of State,,OVER VOTES,,county,Audubon,0,False
Treasurer of State,,UNDER VOTES,,county,Audubon,0,False
Treasurer of State,,SCATTERING,,county,Audubon,4,False
Treasurer of State,,TOTAL,,county,Audubon,1680,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Benton,6923,False
Treasurer of State,,OVER VOTES,,county,Benton,0,False
Treasurer of State,,UNDER VOTES,,county,Benton,2889,False
Treasurer of State,,SCATTERING,,county,Benton,33,False
Treasurer of State,,TOTAL,,county,Benton,9845,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Black Hawk,32040,False
Treasurer of State,,OVER VOTES,,county,Black Hawk,1,False
Treasurer of State,,UNDER VOTES,,county,Black Hawk,0,False
Treasurer of State,,SCATTERING,,county,Black Hawk,211,False
Treasurer of State,,TOTAL,,county,Black Hawk,32252,False
Treasurer of State,,MICHAEL L. FITZGERALD,Democrat,county,Boone,7254,False
Treasurer of State,,OVER VOTES,,county,Boone,0,False
