office,county,candidate,party,votes
U.S. Senate,Lee,Under Votes,,493
U.S. Senate,Lee,Over Votes,,8
U.S. Senate,Lee,Total,,16347
U.S. Senate,Linn,Charles E. Grassley,Republican Party,62737
U.S. Senate,Linn,Patty Judge,Democratic Party,47635
U.S. Senate,Linn,Charles Aldrich,Libertarian Party,3818
U.S. Senate,Linn,Jim Hennager,New Independent Party Iowa,994
U.S. Senate,Linn,Michael Luick-Thrams,Nominated by Petition,305
U.S. Senate,Linn,Write-In,,125
U.S. Senate,Linn,Under Votes,,2406
U.S. Senate,Linn,Over Votes,,96
U.S. Senate,Linn,Total,,118116
U.S. Senate,Louisa,Charles E. Grassley,Republican Party,3303
U.S. Senate,Louisa,Patty Judge,Democratic Party,1429
U.S. Senate,Louisa,Charles Aldrich,Libertarian Party,146
U.S. Senate,Louisa,Jim Hennager,New Independent Party Iowa,43
U.S. Senate,Louisa,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Louisa,Write-In,,7
U.S. Senate,Louisa,Under Votes,,132
U.S. Senate,Louisa,Over Votes,,5
U.S. Senate,Louisa,Total,,5076
U.S. Senate,Lucas,Charles E. Grassley,Republican Party,3064
U.S. Senate,Lucas,Patty Judge,Democratic Party,1068
U.S. Senate,Lucas,Charles Aldrich,Libertarian Party,99
U.S. Senate,Lucas,Jim Hennager,New Independent Party Iowa,37
U.S. Senate,Lucas,Michael Luick-Thrams,Nominated by Petition,8
U.S. Senate,Lucas,Write-In,,1
U.S. Senate,Lucas,Under Votes,,114
U.S. Senate,Lucas,Over Votes,,1
U.S. Senate,Lucas,Total,,4392
U.S. Senate,Lyon,Charles E. Grassley,Republican Party,5328
U.S. Senate,Lyon,Patty Judge,Democratic Party,761
U.S. Senate,Lyon,Charles Aldrich,Libertarian Party,107
U.S. Senate,Lyon,Jim Hennager,New Independent Party Iowa,44
U.S. Senate,Lyon,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Lyon,Write-In,,3
U.S. Senate,Lyon,Under Votes,,175
U.S. Senate,Lyon,Over Votes,,2
U.S. Senate,Lyon,Total,,6431
U.S. Senate,Madison,Charles E. Grassley,Republican Party,5921
U.S. Senate,Madison,Patty Judge,Democratic Party,2205
U.S. Senate,Madison,Charles Aldrich,Libertarian Party,279
U.S. Senate,Madison,Jim Hennager,New Independent Party Iowa,89
U.S. Senate,Madison,Michael Luick-Thrams,Nominated by Petition,18
U.S. Senate,Madison,Write-In,,8
U.S. Senate,Madison,Under Votes,,186
U.S. Senate,Madison,Over Votes,,0
U.S. Senate,Madison,Total,,8706
U.S. Senate,Mahaska,Charles E. Grassley,Republican Party,7812
U.S. Senate,Mahaska,Patty Judge,Democratic Party,2302
U.S. Senate,Mahaska,Charles Aldrich,Libertarian Party,248
U.S. Senate,Mahaska,Jim Hennager,New Independent Party Iowa,88
U.S. Senate,Mahaska,Michael Luick-Thrams,Nominated by Petition,27
U.S. Senate,Mahaska,Write-In,,5
U.S. Senate,Mahaska,Under Votes,,235
U.S. Senate,Mahaska,Over Votes,,6
U.S. Senate,Mahaska,Total,,10723
U.S. Senate,Marion,Charles E. Grassley,Republican Party,12407
U.S. Senate,Marion,Patty Judge,Democratic Party,4562
U.S. Senate,Marion,Charles Aldrich,Libertarian Party,429
U.S. Senate,Marion,Jim Hennager,New Independent Party Iowa,166
U.S. Senate,Marion,Michael Luick-Thrams,Nominated by Petition,44
U.S. Senate,Marion,Write-In,,13
U.S. Senate,Marion,Under Votes,,370
U.S. Senate,Marion,Over Votes,,0
U.S. Senate,Marion,Total,,17991
U.S. Senate,Marshall,Charles E. Grassley,Republican Party,10432
U.S. Senate,Marshall,Patty Judge,Democratic Party,6585
U.S. Senate,Marshall,Charles Aldrich,Libertarian Party,481
U.S. Senate,Marshall,Jim Hennager,New Independent Party Iowa,182
U.S. Senate,Marshall,Michael Luick-Thrams,Nominated by Petition,49
U.S. Senate,Marshall,Write-In,,10
U.S. Senate,Marshall,Under Votes,,426
U.S. Senate,Marshall,Over Votes,,10
U.S. Senate,Marshall,Total,,18175
U.S. Senate,Mills,Charles E. Grassley,Republican Party,5290
U.S. Senate,Mills,Patty Judge,Democratic Party,1740
U.S. Senate,Mills,Charles Aldrich,Libertarian Party,259
U.S. Senate,Mills,Jim Hennager,New Independent Party Iowa,93
U.S. Senate,Mills,Michael Luick-Thrams,Nominated by Petition,30
U.S. Senate,Mills,Write-In,,10
U.S. Senate,Mills,Under Votes,,345
U.S. Senate,Mills,Over Votes,,5
U.S. Senate,Mills,Total,,7772
U.S. Senate,Mitchell,Charles E. Grassley,Republican Party,3680
U.S. Senate,Mitchell,Patty Judge,Democratic Party,1536
U.S. Senate,Mitchell,Charles Aldrich,Libertarian Party,102
U.S. Senate,Mitchell,Jim Hennager,New Independent Party Iowa,46
U.S. Senate,Mitchell,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Mitchell,Write-In,,4
U.S. Senate,Mitchell,Under Votes,,140
U.S. Senate,Mitchell,Over Votes,,2
U.S. Senate,Mitchell,Total,,5521
U.S. Senate,Monona,Charles E. Grassley,Republican Party,3315
U.S. Senate,Monona,Patty Judge,Democratic Party,1049
U.S. Senate,Monona,Charles Aldrich,Libertarian Party,107
U.S. Senate,Monona,Jim Hennager,New Independent Party Iowa,46
U.S. Senate,Monona,Michael Luick-Thrams,Nominated by Petition,9
U.S. Senate,Monona,Write-In,,4
U.S. Senate,Monona,Under Votes,,97
U.S. Senate,Monona,Over Votes,,2
U.S. Senate,Monona,Total,,4629
U.S. Senate,Monroe,Charles E. Grassley,Republican Party,2458
U.S. Senate,Monroe,Patty Judge,Democratic Party,1280
U.S. Senate,Monroe,Charles Aldrich,Libertarian Party,75
U.S. Senate,Monroe,Jim Hennager,New Independent Party Iowa,16
U.S. Senate,Monroe,Michael Luick-Thrams,Nominated by Petition,7
U.S. Senate,Monroe,Write-In,,1
U.S. Senate,Monroe,Under Votes,,68
U.S. Senate,Monroe,Over Votes,,2
U.S. Senate,Monroe,Total,,3907
U.S. Senate,Montgomery,Charles E. Grassley,Republican Party,3646
U.S. Senate,Montgomery,Patty Judge,Democratic Party,1067
U.S. Senate,Montgomery,Charles Aldrich,Libertarian Party,148
U.S. Senate,Montgomery,Jim Hennager,New Independent Party Iowa,68
U.S. Senate,Montgomery,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Montgomery,Write-In,,4
U.S. Senate,Montgomery,Under Votes,,151
U.S. Senate,Montgomery,Over Votes,,2
U.S. Senate,Montgomery,Total,,5102
U.S. Senate,Muscatine,Charles E. Grassley,Republican Party,11157
U.S. Senate,Muscatine,Patty Judge,Democratic Party,6963
U.S. Senate,Muscatine,Charles Aldrich,Libertarian Party,543
U.S. Senate,Muscatine,Jim Hennager,New Independent Party Iowa,371
U.S. Senate,Muscatine,Michael Luick-Thrams,Nominated by Petition,41
U.S. Senate,Muscatine,Write-In,,20
U.S. Senate,Muscatine,Under Votes,,514
U.S. Senate,Muscatine,Over Votes,,14
U.S. Senate,Muscatine,Total,,19623
U.S. Senate,O'Brien,Charles E. Grassley,Republican Party,6076
U.S. Senate,O'Brien,Patty Judge,Democratic Party,1060
U.S. Senate,O'Brien,Charles Aldrich,Libertarian Party,109
U.S. Senate,O'Brien,Jim Hennager,New Independent Party Iowa,37
U.S. Senate,O'Brien,Michael Luick-Thrams,Nominated by Petition,15
U.S. Senate,O'Brien,Write-In,,7
U.S. Senate,O'Brien,Under Votes,,156
U.S. Senate,O'Brien,Over Votes,,0
U.S. Senate,O'Brien,Total,,7460
U.S. Senate,Osceola,Charles E. Grassley,Republican Party,2601
U.S. Senate,Osceola,Patty Judge,Democratic Party,455
U.S. Senate,Osceola,Charles Aldrich,Libertarian Party,53
U.S. Senate,Osceola,Jim Hennager,New Independent Party Iowa,21
U.S. Senate,Osceola,Michael Luick-Thrams,Nominated by Petition,10
U.S. Senate,Osceola,Write-In,,3
U.S. Senate,Osceola,Under Votes,,108
U.S. Senate,Osceola,Over Votes,,0
U.S. Senate,Osceola,Total,,3251
U.S. Senate,Page,Charles E. Grassley,Republican Party,5208
U.S. Senate,Page,Patty Judge,Democratic Party,1461
U.S. Senate,Page,Charles Aldrich,Libertarian Party,176
U.S. Senate,Page,Jim Hennager,New Independent Party Iowa,61
U.S. Senate,Page,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Page,Write-In,,4
U.S. Senate,Page,Under Votes,,197
U.S. Senate,Page,Over Votes,,3
U.S. Senate,Page,Total,,7121
U.S. Senate,Palo Alto,Charles E. Grassley,Republican Party,3377
U.S. Senate,Palo Alto,Patty Judge,Democratic Party,1109
U.S. Senate,Palo Alto,Charles Aldrich,Libertarian Party,83
U.S. Senate,Palo Alto,Jim Hennager,New Independent Party Iowa,73
U.S. Senate,Palo Alto,Michael Luick-Thrams,Nominated by Petition,9
U.S. Senate,Palo Alto,Write-In,,2
U.S. Senate,Palo Alto,Under Votes,,104
U.S. Senate,Palo Alto,Over Votes,,3
U.S. Senate,Palo Alto,Total,,4760
U.S. Senate,Plymouth,Charles E. Grassley,Republican Party,10338
U.S. Senate,Plymouth,Patty Judge,Democratic Party,2300
U.S. Senate,Plymouth,Charles Aldrich,Libertarian Party,234
U.S. Senate,Plymouth,Jim Hennager,New Independent Party Iowa,75
U.S. Senate,Plymouth,Michael Luick-Thrams,Nominated by Petition,20
U.S. Senate,Plymouth,Write-In,,3
U.S. Senate,Plymouth,Under Votes,,301
U.S. Senate,Plymouth,Over Votes,,3
U.S. Senate,Plymouth,Total,,13274
U.S. Senate,Pocahontas,Charles E. Grassley,Republican Party,2891
U.S. Senate,Pocahontas,Patty Judge,Democratic Party,784
U.S. Senate,Pocahontas,Charles Aldrich,Libertarian Party,96
U.S. Senate,Pocahontas,Jim Hennager,New Independent Party Iowa,41
U.S. Senate,Pocahontas,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Pocahontas,Write-In,,1
U.S. Senate,Pocahontas,Under Votes,,94
U.S. Senate,Pocahontas,Over Votes,,0
U.S. Senate,Pocahontas,Total,,3918
U.S. Senate,Polk,Charles E. Grassley,Republican Party,118164
U.S. Senate,Polk,Patty Judge,Democratic Party,100317
U.S. Senate,Polk,Charles Aldrich,Libertarian Party,6594
U.S. Senate,Polk,Jim Hennager,New Independent Party Iowa,2168
U.S. Senate,Polk,Michael Luick-Thrams,Nominated by Petition,786
U.S. Senate,Polk,Write-In,,362
U.S. Senate,Polk,Under Votes,,4850
U.S. Senate,Polk,Over Votes,,144
U.S. Senate,Polk,Total,,233385
U.S. Senate,Pottawattamie,Charles E. Grassley,Republican Party,25721
U.S. Senate,Pottawattamie,Patty Judge,Democratic Party,12943
U.S. Senate,Pottawattamie,Charles Aldrich,Libertarian Party,1264
U.S. Senate,Pottawattamie,Jim Hennager,New Independent Party Iowa,1333
U.S. Senate,Pottawattamie,Michael Luick-Thrams,Nominated by Petition,148
U.S. Senate,Pottawattamie,Write-In,,57
U.S. Senate,Pottawattamie,Under Votes,,1554
U.S. Senate,Pottawattamie,Over Votes,,38
U.S. Senate,Pottawattamie,Total,,43058
U.S. Senate,Poweshiek,Charles E. Grassley,Republican Party,5617
U.S. Senate,Poweshiek,Patty Judge,Democratic Party,3748
U.S. Senate,Poweshiek,Charles Aldrich,Libertarian Party,244
U.S. Senate,Poweshiek,Jim Hennager,New Independent Party Iowa,87
U.S. Senate,Poweshiek,Michael Luick-Thrams,Nominated by Petition,28
U.S. Senate,Poweshiek,Write-In,,7
U.S. Senate,Poweshiek,Under Votes,,185
U.S. Senate,Poweshiek,Over Votes,,0
U.S. Senate,Poweshiek,Total,,9916
U.S. Senate,Ringgold,Charles E. Grassley,Republican Party,1989
U.S. Senate,Ringgold,Patty Judge,Democratic Party,617
U.S. Senate,Ringgold,Charles Aldrich,Libertarian Party,54
U.S. Senate,Ringgold,Jim Hennager,New Independent Party Iowa,20
U.S. Senate,Ringgold,Michael Luick-Thrams,Nominated by Petition,5
U.S. Senate,Ringgold,Write-In,,1
U.S. Senate,Ringgold,Under Votes,,66
U.S. Senate,Ringgold,Over Votes,,0
U.S. Senate,Ringgold,Total,,2752
U.S. Senate,Sac,Charles E. Grassley,Republican Party,3965
U.S. Senate,Sac,Patty Judge,Democratic Party,1015
U.S. Senate,Sac,Charles Aldrich,Libertarian Party,97
U.S. Senate,Sac,Jim Hennager,New Independent Party Iowa,37
U.S. Senate,Sac,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Sac,Write-In,,6
U.S. Senate,Sac,Under Votes,,126
U.S. Senate,Sac,Over Votes,,0
U.S. Senate,Sac,Total,,5257
U.S. Senate,Scott,Charles E. Grassley,Republican Party,46415
U.S. Senate,Scott,Patty Judge,Democratic Party,34503
U.S. Senate,Scott,Charles Aldrich,Libertarian Party,2717
U.S. Senate,Scott,Jim Hennager,New Independent Party Iowa,626
U.S. Senate,Scott,Michael Luick-Thrams,Nominated by Petition,239
U.S. Senate,Scott,Write-In,,192
U.S. Senate,Scott,Under Votes,,2566
U.S. Senate,Scott,Over Votes,,28
U.S. Senate,Scott,Total,,87286
U.S. Senate,Shelby,Charles E. Grassley,Republican Party,4480
U.S. Senate,Shelby,Patty Judge,Democratic Party,1409
U.S. Senate,Shelby,Charles Aldrich,Libertarian Party,153
U.S. Senate,Shelby,Jim Hennager,New Independent Party Iowa,51
U.S. Senate,Shelby,Michael Luick-Thrams,Nominated by Petition,13
U.S. Senate,Shelby,Write-In,,4
U.S. Senate,Shelby,Under Votes,,337
U.S. Senate,Shelby,Over Votes,,1
U.S. Senate,Shelby,Total,,6448
U.S. Senate,Sioux,Charles E. Grassley,Republican Party,15902
U.S. Senate,Sioux,Patty Judge,Democratic Party,1709
U.S. Senate,Sioux,Charles Aldrich,Libertarian Party,225
U.S. Senate,Sioux,Jim Hennager,New Independent Party Iowa,72
U.S. Senate,Sioux,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Sioux,Write-In,,8
U.S. Senate,Sioux,Under Votes,,395
U.S. Senate,Sioux,Over Votes,,5
U.S. Senate,Sioux,Total,,18332
U.S. Senate,Story,Charles E. Grassley,Republican Party,25475
U.S. Senate,Story,Patty Judge,Democratic Party,21472
U.S. Senate,Story,Charles Aldrich,Libertarian Party,1658
U.S. Senate,Story,Jim Hennager,New Independent Party Iowa,456
U.S. Senate,Story,Michael Luick-Thrams,Nominated by Petition,194
U.S. Senate,Story,Write-In,,61
U.S. Senate,Story,Under Votes,,1641
U.S. Senate,Story,Over Votes,,17
U.S. Senate,Story,Total,,50974
U.S. Senate,Tama,Charles E. Grassley,Republican Party,5536
U.S. Senate,Tama,Patty Judge,Democratic Party,2769
U.S. Senate,Tama,Charles Aldrich,Libertarian Party,204
U.S. Senate,Tama,Jim Hennager,New Independent Party Iowa,191
U.S. Senate,Tama,Michael Luick-Thrams,Nominated by Petition,10
U.S. Senate,Tama,Write-In,,12
U.S. Senate,Tama,Under Votes,,142
U.S. Senate,Tama,Over Votes,,2
U.S. Senate,Tama,Total,,8866
U.S. Senate,Taylor,Charles E. Grassley,Republican Party,2220
U.S. Senate,Taylor,Patty Judge,Democratic Party,613
U.S. Senate,Taylor,Charles Aldrich,Libertarian Party,70
U.S. Senate,Taylor,Jim Hennager,New Independent Party Iowa,29
U.S. Senate,Taylor,Michael Luick-Thrams,Nominated by Petition,7
U.S. Senate,Taylor,Write-In,,2
U.S. Senate,Taylor,Under Votes,,120
U.S. Senate,Taylor,Over Votes,,4
U.S. Senate,Taylor,Total,,3065
U.S. Senate,Union,Charles E. Grassley,Republican Party,3913
U.S. Senate,Union,Patty Judge,Democratic Party,1625
U.S. Senate,Union,Charles Aldrich,Libertarian Party,140
U.S. Senate,Union,Jim Hennager,New Independent Party Iowa,79
U.S. Senate,Union,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Union,Write-In,,2
U.S. Senate,Union,Under Votes,,105
U.S. Senate,Union,Over Votes,,5
U.S. Senate,Union,Total,,5885
U.S. Senate,Van Buren,Charles E. Grassley,Republican Party,2618
U.S. Senate,Van Buren,Patty Judge,Democratic Party,764
U.S. Senate,Van Buren,Charles Aldrich,Libertarian Party,76
U.S. Senate,Van Buren,Jim Hennager,New Independent Party Iowa,64
U.S. Senate,Van Buren,Michael Luick-Thrams,Nominated by Petition,5
U.S. Senate,Van Buren,Write-In,,4
U.S. Senate,Van Buren,Under Votes,,64
U.S. Senate,Van Buren,Over Votes,,0
U.S. Senate,Van Buren,Total,,3595
U.S. Senate,Wapello,Charles E. Grassley,Republican Party,8692
U.S. Senate,Wapello,Patty Judge,Democratic Party,5365
U.S. Senate,Wapello,Charles Aldrich,Libertarian Party,352
U.S. Senate,Wapello,Jim Hennager,New Independent Party Iowa,337
U.S. Senate,Wapello,Michael Luick-Thrams,Nominated by Petition,27
U.S. Senate,Wapello,Write-In,,17
U.S. Senate,Wapello,Under Votes,,477
U.S. Senate,Wapello,Over Votes,,10
U.S. Senate,Wapello,Total,,15277
U.S. Senate,Warren,Charles E. Grassley,Republican Party,17081
U.S. Senate,Warren,Patty Judge,Democratic Party,8700
U.S. Senate,Warren,Charles Aldrich,Libertarian Party,762
U.S. Senate,Warren,Jim Hennager,New Independent Party Iowa,233
U.S. Senate,Warren,Michael Luick-Thrams,Nominated by Petition,78
U.S. Senate,Warren,Write-In,,25
U.S. Senate,Warren,Under Votes,,621
U.S. Senate,Warren,Over Votes,,7
U.S. Senate,Warren,Total,,27507
U.S. Senate,Washington,Charles E. Grassley,Republican Party,7251
U.S. Senate,Washington,Patty Judge,Democratic Party,3062
U.S. Senate,Washington,Charles Aldrich,Libertarian Party,343
U.S. Senate,Washington,Jim Hennager,New Independent Party Iowa,83
U.S. Senate,Washington,Michael Luick-Thrams,Nominated by Petition,28
U.S. Senate,Washington,Write-In,,10
U.S. Senate,Washington,Under Votes,,309
U.S. Senate,Washington,Over Votes,,6
U.S. Senate,Washington,Total,,11092
U.S. Senate,Wayne,Charles E. Grassley,Republican Party,2195
U.S. Senate,Wayne,Patty Judge,Democratic Party,645
U.S. Senate,Wayne,Charles Aldrich,Libertarian Party,56
U.S. Senate,Wayne,Jim Hennager,New Independent Party Iowa,28
U.S. Senate,Wayne,Michael Luick-Thrams,Nominated by Petition,4
U.S. Senate,Wayne,Write-In,,1
U.S. Senate,Wayne,Under Votes,,60
U.S. Senate,Wayne,Over Votes,,0
U.S. Senate,Wayne,Total,,2989
U.S. Senate,Webster,Charles E. Grassley,Republican Party,11045
U.S. Senate,Webster,Patty Judge,Democratic Party,5396
U.S. Senate,Webster,Charles Aldrich,Libertarian Party,415
U.S. Senate,Webster,Jim Hennager,New Independent Party Iowa,222
U.S. Senate,Webster,Michael Luick-Thrams,Nominated by Petition,65
U.S. Senate,Webster,Write-In,,16
U.S. Senate,Webster,Under Votes,,423
U.S. Senate,Webster,Over Votes,,11
U.S. Senate,Webster,Total,,17593
U.S. Senate,Winnebago,Charles E. Grassley,Republican Party,3938
U.S. Senate,Winnebago,Patty Judge,Democratic Party,1590
U.S. Senate,Winnebago,Charles Aldrich,Libertarian Party,153
U.S. Senate,Winnebago,Jim Hennager,New Independent Party Iowa,62
U.S. Senate,Winnebago,Michael Luick-Thrams,Nominated by Petition,15
U.S. Senate,Winnebago,Write-In,,3
U.S. Senate,Winnebago,Under Votes,,101
U.S. Senate,Winnebago,Over Votes,,2
U.S. Senate,Winnebago,Total,,5864
U.S. Senate,Winneshiek,Charles E. Grassley,Republican Party,6349
U.S. Senate,Winneshiek,Patty Judge,Democratic Party,4436
U.S. Senate,Winneshiek,Charles Aldrich,Libertarian Party,296
U.S. Senate,Winneshiek,Jim Hennager,New Independent Party Iowa,97
U.S. Senate,Winneshiek,Michael Luick-Thrams,Nominated by Petition,36
U.S. Senate,Winneshiek,Write-In,,5
U.S. Senate,Winneshiek,Under Votes,,288
U.S. Senate,Winneshiek,Over Votes,,4
U.S. Senate,Winneshiek,Total,,11511
U.S. Senate,Woodbury,Charles E. Grassley,Republican Party,27166
U.S. Senate,Woodbury,Patty Judge,Democratic Party,13909
U.S. Senate,Woodbury,Charles Aldrich,Libertarian Party,1015
U.S. Senate,Woodbury,Jim Hennager,New Independent Party Iowa,790
U.S. Senate,Woodbury,Michael Luick-Thrams,Nominated by Petition,95
U.S. Senate,Woodbury,Write-In,,37
U.S. Senate,Woodbury,Under Votes,,1133
U.S. Senate,Woodbury,Over Votes,,22
U.S. Senate,Woodbury,Total,,44167
U.S. Senate,Worth,Charles E. Grassley,Republican Party,2774
U.S. Senate,Worth,Patty Judge,Democratic Party,1246
U.S. Senate,Worth,Charles Aldrich,Libertarian Party,120
U.S. Senate,Worth,Jim Hennager,New Independent Party Iowa,71
U.S. Senate,Worth,Michael Luick-Thrams,Nominated by Petition,8
U.S. Senate,Worth,Write-In,,3
U.S. Senate,Worth,Under Votes,,82
U.S. Senate,Worth,Over Votes,,1
U.S. Senate,Worth,Total,,4305
U.S. Senate,Wright,Charles E. Grassley,Republican Party,4208
U.S. Senate,Wright,Patty Judge,Democratic Party,1550
U.S. Senate,Wright,Charles Aldrich,Libertarian Party,168
U.S. Senate,Wright,Jim Hennager,New Independent Party Iowa,39
U.S. Senate,Wright,Michael Luick-Thrams,Nominated by Petition,12
U.S. Senate,Wright,Write-In,,4
U.S. Senate,Wright,Under Votes,,109
U.S. Senate,Wright,Over Votes,,2
U.S. Senate,Wright,Total,,6092
